asset_id,asset_name,purchase_date,cost,service_years,dept,currency
AST0001,New Lab Building,2022-02-15,5382787,30,R&D,USD
AST0002,Security System,2022-05-15,135785,10,Operations,USD
AST0003,Security System,2022-08-15,151793,4,R&D,USD
AST0004,3D Printer,2022-11-15,94342,3,Finance,USD
AST0005,Manufacturing Robot,2022-11-15,245656,7,R&D,USD
AST0006,Warehouse Equipment,2022-02-15,175407,5,Operations,USD
AST0007,Laptop Fleet,2022-02-15,45916,6,HR,USD
AST0008,Conference AV,2022-08-15,120638,5,Operations,USD
AST0009,CRM Platform,2023-11-15,94986,3,IT,USD
AST0010,Conference AV,2023-08-15,89175,5,HR,USD
AST0011,Office Renovation,2023-11-15,171001,6,Sales,USD
AST0012,Office Renovation,2023-08-15,133414,8,Finance,USD
AST0013,3D Printer,2023-05-15,173682,9,Admin,USD
AST0014,HVAC Upgrade,2023-05-05,345285,5,Operations,USD
AST0015,Manufacturing Robot,2023-11-15,372159,7,Marketing,USD
AST0016,Server Cluster,2023-05-15,229700,10,Admin,USD
AST0017,CRM Platform,2024-02-15,94986,3,IT,USD
AST0018,Conference AV,2024-05-15,89175,5,HR,USD
AST0019,Office Renovation,2024-08-15,171001,6,Sales,USD
AST0020,Office Renovation,2024-08-15,33414,8,Finance,USD
AST0021,3D Printer,2024-08-15,173682,9,Finance,USD
AST0022,HVAC Upgrade,2024-11-15,145285,5,Sales,USD
AST0023,Manufacturing Robot,2024-11-15,172159,7,Operations,USD
AST0024,Server Cluster,2024-11-15,129700,10,Finance,USD
AST0025,Office Renovation,2025-02-15,133414,8,Admin,USD
AST0026,3D Printer,2025-05-15,173682,9,R&D,USD
AST0027,HVAC Upgrade,2025-05-15,145285,5,Admin,USD
AST0028,Warehouse Equipment,2025-08-15,172159,5,Operations,USD
AST0029,Server Cluster,2025-08-15,129700,10,R&D,USD
AST0030,Laptop Fleet,2025-11-15,45916,3,Admin,USD
