account_number,account_name,account_type,account_subtype,normal_balance
"1000","Cash and Equivalents","Asset","Current Asset","Debit"
"1050","Short-Term Investments","Asset","Current Asset","Debit"
"1100","Accounts Receivable","Asset","Current Asset","Debit"
"1150","Allowance for Doubtful Accounts","Asset","Contra Asset","Credit"
"1200","Inventory","Asset","Current Asset","Debit"
"1300","Prepaid Expenses","Asset","Current Asset","Debit"
"1500","Property, Plant & Equip","Asset","Fixed Asset","Debit"
"1550","Accumulated Depreciation","Asset","Contra Asset","Credit"
"2000","Accounts Payable","Liability","Current Liability","Credit"
"2100","Accrued Liabilities","Liability","Current Liability","Credit"
"2200","Short-term Debt","Liability","Current Liability","Credit"
"2300","Unearned Revenue","Liability","Current Liability","Credit"
"2500","Long-term Debt","Liability","Long-term Liability","Credit"
"3000","Common Stock","Equity","Paid-in Capital","Credit"
"3100","Retained Earnings","Equity","Retained Earnings","Credit"
"3200","Treasury Stock","Equity","Contra Equity","Debit"
"3300","Dividends Paid","Equity","Contra Equity","Debit"
"4000","Hardware Sales","Revenue","Product Revenue","Credit"
"4100","Software Sales","Revenue","Product Revenue","Credit"
"4200","Consulting","Revenue","Service Revenue","Credit"
"4300","Interest Income","Revenue","Non-Operating Revenue","Credit"
"5000","Cost of Goods Sold","Expense","Operating Expense","Debit"
"6000","Salaries and Wages","Expense","Operating Expense","Debit"
"6100","Supplies Expense","Expense","Operating Expense","Debit"
"6200","Lease Expense","Expense","Operating Expense","Debit"
"6300","Bad Debt Expense","Expense","Operating Expense","Debit"
"6400","Marketing Expense","Expense","Operating Expense","Debit"
"6500","R&D Expense","Expense","Operating Expense","Debit"
"6600","Depreciation Expense","Expense","Operating Expense","Debit"
"6700","Legal & Professional Fees","Expense","Operating Expense","Debit"
"7000","Interest Expense","Expense","Non-Operating Expense","Debit"
"8000","Income Tax Expense","Expense","Tax Expense","Debit"
